stream,step,processed,true_unique,estimate,estimate_plus
28,18,47500,45736,47645.4,47645.4
28,19,50000,48118,50012.3,50012.3
29,0,2500,2449,2478.71,2478.71
29,1,5000,4851,4789.81,4782.09
29,2,7500,7270,7278.29,7278.29
29,3,10000,9678,9464.42,9464.42
29,4,12500,12100,12034.1,12034.1
29,5,15000,14506,14410.5,14410.5
29,6,17500,16896,16333.6,16333.6
29,7,20000,19299,19199.2,19199.2
29,8,22500,21693,21059.1,21059.1
29,9,25000,24102,23689.8,23689.8
29,10,27500,26507,26075.6,26075.6
29,11,30000,28911,29253.6,29253.6
29,12,32500,31303,31794.4,31794.4
29,13,35000,33724,34789.6,34789.6
29,14,37500,36125,37587.3,37587.3
29,15,40000,38516,39670.2,39670.2
29,16,42500,40898,42697.2,42697.2
29,17,45000,43295,44796.1,44796.1
29,18,47500,45677,47250.3,47250.3
29,19,50000,48067,49085.7,49085.7
